,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
134,Adiós (La tarde que partí),Bolero,https://www.todotango.com/musica/tema/7988/Adios-La-tarde-que-parti/,True,False,False,False,True
814,Caminando,Bolero,https://www.todotango.com/musica/tema/6059/Caminando/,True,False,False,False,True
1118,Como el verde mar,Bolero,https://www.todotango.com/musica/tema/2067/Como-el-verde-mar/,True,False,False,False,True
1257,Cosas pequeñas,Bolero,https://www.todotango.com/musica/tema/6446/Cosas-pequenas/,True,False,False,False,True
1529,Diez páginas nomás,Bolero,https://www.todotango.com/musica/tema/6797/Diez-paginas-nomas/,True,False,False,False,True
1582,Dos almas,Bolero,https://www.todotango.com/musica/tema/7128/Dos-almas/,True,True,True,False,True
1922,El último acto,Bolero,https://www.todotango.com/musica/tema/2668/El-ultimo-acto/,True,True,False,False,True
3792,Noches de Santiago,Bolero,https://www.todotango.com/musica/tema/3825/Noches-de-Santiago/,True,False,False,False,True
4049,Pecado,Bolero,https://www.todotango.com/musica/tema/770/Pecado/,True,False,False,True,True
4723,Si te alejas de mí,Bolero,https://www.todotango.com/musica/tema/6798/Si-te-alejas-de-mi/,True,False,False,False,True
5035,Te presentí,Bolero,https://www.todotango.com/musica/tema/6005/Te-presenti/,True,False,False,False,True
