,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
18,A eso de la oración,Canción,https://www.todotango.com/musica/tema/5331/A-eso-de-la-oracion/,True,False,False,False,True
47,A más de nueve mil metros de altura,Canción,https://www.todotango.com/musica/tema/3190/A-mas-de-nueve-mil-metros-de-altura/,True,False,False,False,True
55,A mi madre (Con los amigos),Canción,https://www.todotango.com/musica/tema/1972/A-mi-madre-Con-los-amigos/,True,False,False,True,True
59,A mí me dicen zorzal,Canción,https://www.todotango.com/musica/tema/5460/A-mi-me-dicen-zorzal/,True,False,False,False,True
80,A Osvaldo Avena,Canción,https://www.todotango.com/musica/tema/1677/A-Osvaldo-Avena/,True,False,False,False,True
85,A pesar de todo [b],Canción,https://www.todotango.com/musica/tema/6324/A-pesar-de-todo-[b]/,True,False,False,False,True
177,Agua fuerte,Canción,https://www.todotango.com/musica/tema/4166/Agua-fuerte/,True,False,False,False,True
202,Al final de la tormenta,Canción,https://www.todotango.com/musica/tema/6205/Al-final-de-la-tormenta/,True,False,False,False,True
291,Amapola,Canción,https://www.todotango.com/musica/tema/1900/Amapola/,True,False,False,False,True
354,Andar de a pie,Canción,https://www.todotango.com/musica/tema/3082/Andar-de-a-pie/,True,False,False,False,True
393,Apure delantero buey,Canción,https://www.todotango.com/musica/tema/308/Apure-delantero-buey/,True,False,False,True,True
555,Balada para mi muerte,Canción,https://www.todotango.com/musica/tema/174/Balada-para-mi-muerte/,True,False,True,False,True
582,Barco quieto,Canción,https://www.todotango.com/musica/tema/6265/Barco-quieto/,True,False,True,False,True
612,Batilana,Canción,https://www.todotango.com/musica/tema/3283/Batilana/,True,False,False,False,True
651,Blanca Nieves la chismosa,Canción,https://www.todotango.com/musica/tema/6388/Blanca-Nieves-la-chismosa/,True,False,False,False,True
674,Bon jour mamá,Canción,https://www.todotango.com/musica/tema/2482/Bon-jour-mama/,True,False,False,False,True
731,Caballito criollo,Canción,https://www.todotango.com/musica/tema/2314/Caballito-criollo/,True,False,False,False,True
777,Cajita china,Canción,https://www.todotango.com/musica/tema/4859/Cajita-china/,True,False,False,False,True
785,Calesiteando,Canción,https://www.todotango.com/musica/tema/6795/Calesiteando/,True,False,False,False,True
