,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
103,A ver si te animás,Candombe,https://www.todotango.com/musica/tema/3694/A-ver-si-te-animas/,True,False,False,False,True
260,Alma desakatada,Candombe,https://www.todotango.com/musica/tema/5123/Alma-desakatada/,True,False,False,False,True
428,Aquí y ahora,Candombe,https://www.todotango.com/musica/tema/8401/Aqui-y-ahora/,True,False,False,False,True
715,"Buenos Aires, buenos vientos",Candombe,https://www.todotango.com/musica/tema/5112/Buenos-Aires-buenos-vientos/,True,False,False,False,True
808,Calún Gangué,Candombe,https://www.todotango.com/musica/tema/2820/Calun-Gangue/,True,False,False,False,True
860,Candombe,Candombe,https://www.todotango.com/musica/tema/7371/Candombe/,True,False,False,False,True
862,Candombe de agua,Candombe,https://www.todotango.com/musica/tema/6998/Candombe-de-agua/,True,False,False,False,True
863,Candombe de las teclas,Candombe,https://www.todotango.com/musica/tema/6904/Candombe-de-las-teclas/,True,False,False,False,True
864,Candombe esdrújulo,Candombe,https://www.todotango.com/musica/tema/8181/Candombe-esdrujulo/,True,False,False,False,True
866,Candombe pa' enamorar,Candombe,https://www.todotango.com/musica/tema/6381/Candombe-pa-enamorar/,True,False,False,False,True
867,Candombe para el que hasta ayer reí,Candombe,https://www.todotango.com/musica/tema/3981/Candombe-para-el-que-hasta-ayer-reia/,True,False,False,False,True
868,Candombe para niños,Candombe,https://www.todotango.com/musica/tema/8142/Candombe-para-ninos/,True,False,False,False,True
1015,Charol,Candombe,https://www.todotango.com/musica/tema/3243/Charol/,True,False,False,False,True
1341,Currar es un deber,Candombe,https://www.todotango.com/musica/tema/3699/Currar-es-un-deber/,True,False,False,False,True
1940,El viaje del negro,Candombe,https://www.todotango.com/musica/tema/2478/El-viaje-del-negro/,True,False,False,False,True
1953,Elegía para Claudia,Candombe,https://www.todotango.com/musica/tema/7394/Elegia-para-Claudia/,True,False,False,False,True
2264,Fruta madura,Candombe,https://www.todotango.com/musica/tema/6090/Fruta-madura/,True,False,False,False,True
2439,Historias de mi cocina,Candombe,https://www.todotango.com/musica/tema/7789/Historias-de-mi-cocina/,True,False,False,True,True
2478,Huesitos,Candombe,https://www.todotango.com/musica/tema/7972/Huesitos/,True,False,False,False,True
2505,Imposible,Candombe,https://www.todotango.com/musica/tema/3031/Imposible/,True,False,False,False,True
2555,Juan Manuel,Candombe,https://www.todotango.com/musica/tema/247/Juan-Manuel/,True,False,False,False,True
2664,La cosa,Candombe,https://www.todotango.com/musica/tema/6940/La-cosa/,True,False,False,False,True
3150,Mamá Tombá,Candombe,https://www.todotango.com/musica/tema/7801/Mama-Tomba/,True,False,False,False,True
3160,Mañana Clara,Candombe,https://www.todotango.com/musica/tema/6336/Manana-Clara/,True,False,False,False,True
3331,Merequetengue,Candombe,https://www.todotango.com/musica/tema/7599/Merequetengue/,True,False,False,False,True
3534,Míreme pasar compadre,Candombe,https://www.todotango.com/musica/tema/5901/Mireme-pasar-compadre/,True,False,False,False,True
3771,Noche de enero,Candombe,https://www.todotango.com/musica/tema/3697/Noche-de-enero/,True,False,False,False,True
3850,Odiseo,Candombe,https://www.todotango.com/musica/tema/4177/Odiseo/,True,False,False,False,True
3992,Para mi patria,Candombe,https://www.todotango.com/musica/tema/3197/Para-mi-patria/,True,False,False,False,True
4062,Pena de luna [b],Candombe,https://www.todotango.com/musica/tema/7393/Pena-de-luna-[b]/,True,False,False,False,True
4157,Pobre negro [b],Candombe,https://www.todotango.com/musica/tema/1008/Pobre-negro-[b]/,True,False,False,False,True
4603,San Pugliese,Candombe,https://www.todotango.com/musica/tema/8364/San-Pugliese/,True,False,False,False,True
4777,Sin pez ni pan,Candombe,https://www.todotango.com/musica/tema/7041/Sin-pez-ni-pan/,True,False,False,False,True
4973,Tango negro [c],Candombe,https://www.todotango.com/musica/tema/3704/Tango-negro-[c]/,True,False,False,True,True
5101,Tocá tangó,Candombe,https://www.todotango.com/musica/tema/3695/Toca-tango/,True,False,False,True,True
