,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
24,A Jorge Newbery,Estilo,https://www.todotango.com/musica/tema/8344/A-Jorge-Newbery/,True,False,False,False,True
31,A la memoria de Jorge Newbery,Estilo,https://www.todotango.com/musica/tema/7335/A-la-memoria-de-Jorge-Newbery/,True,True,False,False,True
58,A mi madre [d],Estilo,https://www.todotango.com/musica/tema/1783/A-mi-madre-[d]/,True,False,False,False,True
62,A mi morocha,Estilo,https://www.todotango.com/musica/tema/4539/A-mi-morocha/,True,False,False,False,True
264,Alma gaucha [b],Estilo,https://www.todotango.com/musica/tema/7388/Alma-gaucha-[b]/,True,True,False,False,True
298,Amargura (El Floridense),Estilo,https://www.todotango.com/musica/tema/8094/Amargura-El-Floridense/,True,False,False,False,True
455,"Arrimate, vida mía",Estilo,https://www.todotango.com/musica/tema/3541/Arrimate-vida-mia/,True,False,False,False,True
683,Brisas camperas,Estilo,https://www.todotango.com/musica/tema/3545/Brisas-camperas/,True,False,False,False,True
1039,China hereje,Estilo,https://www.todotango.com/musica/tema/2090/China-hereje/,True,False,False,True,True
1608,Eche otra caña pulpero,Estilo,https://www.todotango.com/musica/tema/4540/Eche-otra-cana-pulpero/,True,False,False,False,True
1671,El boyero,Estilo,https://www.todotango.com/musica/tema/1851/El-boyero/,True,False,False,False,True
1686,El cardo azul,Estilo,https://www.todotango.com/musica/tema/1873/El-cardo-azul/,True,False,False,True,True
1822,El pangaré,Estilo,https://www.todotango.com/musica/tema/1959/El-pangare/,True,False,False,False,True
1854,El poncho del olvido (Me dejaste),Estilo,https://www.todotango.com/musica/tema/1785/El-poncho-del-olvido-Me-dejaste/,True,False,False,False,True
2366,"Guitarra, guitarra mía",Estilo,https://www.todotango.com/musica/tema/803/Guitarra-guitarra-mia/,True,True,True,True,True
2451,Homenaje a Saravia,Estilo,https://www.todotango.com/musica/tema/3536/Homenaje-a-Saravia/,True,False,False,False,True
2740,La mariposa (Gorjeos),Estilo,https://www.todotango.com/musica/tema/1782/La-mariposa-Gorjeos/,True,False,False,True,True
3964,Paloma herida,Estilo,https://www.todotango.com/musica/tema/9168/Paloma-herida/,True,False,False,False,True
3968,Palomita robada,Estilo,https://www.todotango.com/musica/tema/7784/Palomita-robada/,True,True,False,False,True
4150,Pobre gallo bataraz,Estilo,https://www.todotango.com/musica/tema/2088/Pobre-gallo-bataraz/,True,True,False,True,True
4598,Salve patria,Estilo,https://www.todotango.com/musica/tema/3366/Salve-patria/,True,False,False,False,True
4605,Sangre criolla [b],Estilo,https://www.todotango.com/musica/tema/4819/Sangre-criolla-[b]/,True,True,False,False,True
4911,Sureña,Estilo,https://www.todotango.com/musica/tema/3845/Surena/,True,False,False,False,True
