,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
28,A la luz de la luna,Foxtrot,https://www.todotango.com/musica/tema/4363/A-la-luz-de-la-luna/,True,False,False,False,True
322,Amor en Budapest,Foxtrot,https://www.todotango.com/musica/tema/1850/Amor-en-Budapest/,True,False,False,False,True
401,Aquel pierrot,Foxtrot,https://www.todotango.com/musica/tema/4365/Aquel-pierrot/,True,False,False,False,True
513,Ay Josefina,Foxtrot,https://www.todotango.com/musica/tema/6929/Ay-Josefina/,True,True,False,False,True
648,Bigotito [b],Foxtrot,https://www.todotango.com/musica/tema/1081/Bigotito-[b]/,True,False,False,False,True
820,Camino al Don,Foxtrot,https://www.todotango.com/musica/tema/2084/Camino-al-Don/,True,False,False,False,True
1278,Cuando Böhr toca el saxofón,Foxtrot,https://www.todotango.com/musica/tema/5268/Cuando-B%c3%b6hr-toca-el-saxofon/,True,False,False,False,True
1501,Despídeme con un beso,Foxtrot,https://www.todotango.com/musica/tema/6901/Despideme-con-un-beso/,True,True,False,False,True
1690,El casamiento no me interesa,Foxtrot,https://www.todotango.com/musica/tema/4256/El-casamiento-no-me-interesa/,True,False,False,False,True
2101,Eso,Foxtrot,https://www.todotango.com/musica/tema/961/Eso/,True,False,False,False,True
2526,Isabel,Foxtrot,https://www.todotango.com/musica/tema/2756/Isabel/,True,False,False,False,True
2628,La canción del ukelele,Foxtrot,https://www.todotango.com/musica/tema/4124/La-cancion-del-ukelele/,True,False,False,False,True
2714,La hija de japonesita,Foxtrot,https://www.todotango.com/musica/tema/5280/La-hija-de-japonesita/,True,False,False,False,True
2921,Las estrellas envidian tu hermosura,Foxtrot,https://www.todotango.com/musica/tema/2845/Las-estrellas-envidian-tu-hermosura-Dolly/,True,False,False,False,True
3184,Manos brujas,Foxtrot,https://www.todotango.com/musica/tema/3252/Manos-brujas/,True,True,False,True,True
3853,Oh París,Foxtrot,https://www.todotango.com/musica/tema/3436/Oh-Paris/,True,False,False,False,True
4089,Pero hay una melena,Foxtrot,https://www.todotango.com/musica/tema/2274/Pero-hay-una-melena/,True,False,True,True,True
4238,Por qué te obstinas en amar a otro,Foxtrot,https://www.todotango.com/musica/tema/787/Por-que-te-obstinas-en-amar-a-otro-si-hoy-es-lunes/,True,False,False,False,True
4289,Preguntas y respuestas,Foxtrot,https://www.todotango.com/musica/tema/2840/Preguntas-y-respuestas/,True,False,False,False,True
4412,Quién (Who),Foxtrot,https://www.todotango.com/musica/tema/5430/Quien-Who/,True,False,False,False,True
4566,Rubias de New York,Foxtrot,https://www.todotango.com/musica/tema/226/Rubias-de-New-York/,True,True,True,True,True
5599,Y los domingos por Florida,Foxtrot,https://www.todotango.com/musica/tema/5269/Y-los-domingos-por-Florida/,True,False,False,False,True
5679,Yo nací para ti tu serás para mí,Foxtrot,https://www.todotango.com/musica/tema/3007/Yo-naci-para-ti-tu-seras-para-mi/,True,False,False,False,True
5722,Yo tengo una nena (I’ve got the gir,Foxtrot,https://www.todotango.com/musica/tema/6779/Yo-tengo-una-nena-Ive-got-the-girl/,True,False,False,False,True
