,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
3,A bordo de mis zapatos,Milonga,https://www.todotango.com/musica/tema/2864/A-bordo-de-mis-zapatos/,True,False,False,False,True
4,A Buenos Aires,Milonga,https://www.todotango.com/musica/tema/3843/A-Buenos-Aires/,True,False,False,False,True
13,A diez centavos la pieza,Milonga,https://www.todotango.com/musica/tema/6232/A-diez-centavos-la-pieza/,True,True,False,False,True
15,A Don Nicanor Paredes,Milonga,https://www.todotango.com/musica/tema/1161/A-Don-Nicanor-Paredes/,True,False,False,False,True
30,A la más linda del barrio,Milonga,https://www.todotango.com/musica/tema/6759/A-la-mas-linda-del-barrio/,True,False,False,False,True
70,A mi teniente querido,Milonga,https://www.todotango.com/musica/tema/10226/A-mi-teniente-querido/,True,False,False,False,True
72,A mis amigos árabes,Milonga,https://www.todotango.com/musica/tema/9694/A-mis-amigos-arabes/,True,False,False,False,True
74,A mis amigos israelitas,Milonga,https://www.todotango.com/musica/tema/9695/A-mis-amigos-israelitas/,True,False,False,False,True
75,A mis manos,Milonga,https://www.todotango.com/musica/tema/1834/A-mis-manos/,True,True,False,True,
93,A Rosalía,Milonga,https://www.todotango.com/musica/tema/3980/A-Rosalia/,True,False,False,False,True
97,A todos les cobra treinta,Milonga,https://www.todotango.com/musica/tema/3649/A-todos-les-cobra-treinta/,True,False,False,False,True
110,Abran cancha [b],Milonga,https://www.todotango.com/musica/tema/2481/Abran-cancha-[b]/,True,False,False,False,True
118,Académica,Milonga,https://www.todotango.com/musica/tema/7841/Academica/,True,True,False,False,True
131,Adelantá el reloj,Milonga,https://www.todotango.com/musica/tema/6284/Adelanta-el-reloj/,True,True,False,False,True
169,Afeitao y sin visita,Milonga,https://www.todotango.com/musica/tema/6271/Afeitao-y-sin-visita/,True,True,False,False,True
179,Agua y aceite,Milonga,https://www.todotango.com/musica/tema/9732/Agua-y-aceite/,True,False,False,False,True
