,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
384,Apología del tango,Poema,https://www.todotango.com/musica/tema/1793/Apologia-del-tango/,True,False,False,False,True
385,Apología del tango [Brancatti],Poema,https://www.todotango.com/musica/tema/1017/Apologia-del-tango-[Brancatti]/,True,False,False,False,True
595,Barrio Once,Poema,https://www.todotango.com/musica/tema/1264/Barrio-Once/,True,False,False,False,True
928,Cariño gaucho [f],Poema,https://www.todotango.com/musica/tema/2284/Carino-gaucho-[f]/,True,False,False,False,True
946,Carne de presidio,Poema,https://www.todotango.com/musica/tema/6996/Carne-de-presidio/,True,False,False,False,True
2422,Hermano tordo,Poema,https://www.todotango.com/musica/tema/5334/Hermano-tordo/,True,False,False,False,True
2686,La epopeya del tango,Poema,https://www.todotango.com/musica/tema/6486/La-epopeya-del-tango/,True,False,False,False,True
3280,Me lo puede responder?,Poema,https://www.todotango.com/musica/tema/5836/Me-lo-puede-responder/,True,False,False,False,True
4037,Patios porteños,Poema,https://www.todotango.com/musica/tema/6847/Patios-portenos/,True,False,False,False,True
4493,Réquiem para mi vieja guitarra,Poema,https://www.todotango.com/musica/tema/6736/Requiem-para-mi-vieja-guitarra/,True,False,False,False,True
5219,Tu pañuelo,Poema,https://www.todotango.com/musica/tema/2283/Tu-panuelo/,True,False,False,False,True
