,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
7,A Carlitos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/3120/A-Carlitos-Gardel/,True,False,False,False,True
8,A Carlos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/2178/A-Carlos-Gardel/,True,False,False,False,True
161,"Adiós, Carlitos Gardel",Poema evocativo,https://www.todotango.com/musica/tema/1319/Adios-Carlitos-Gardel/,True,False,False,False,True
207,Al Mago,Poema evocativo,https://www.todotango.com/musica/tema/3310/Al-Mago/,True,False,False,False,True
931,Carlitos (A Carlos Gardel),Poema evocativo,https://www.todotango.com/musica/tema/1093/Carlitos-A-Carlos-Gardel/,True,False,False,False,True
932,Carlitos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1322/Carlitos-Gardel/,True,False,False,False,True
934,Carlos Gardel [b],Poema evocativo,https://www.todotango.com/musica/tema/1327/Carlos-Gardel-[b]/,True,False,False,False,True
935,Carlos Gardel [c],Poema evocativo,https://www.todotango.com/musica/tema/2461/Carlos-Gardel-[c]/,True,False,False,False,True
1123,Como Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1328/Como-Gardel/,True,False,False,False,True
1652,El atrapa-corazones,Poema evocativo,https://www.todotango.com/musica/tema/3043/El-atrapa-corazones/,True,False,False,False,True
1777,El llanto de Hispano América,Poema evocativo,https://www.todotango.com/musica/tema/1321/El-llanto-de-Hispano-America/,True,False,False,False,True
2067,Es de todos por igual!,Poema evocativo,https://www.todotango.com/musica/tema/1879/Es-de-todos-por-igual/,True,False,False,False,True
2158,Evocación (A Carlos Gardel),Poema evocativo,https://www.todotango.com/musica/tema/2168/Evocacion-A-Carlos-Gardel/,True,False,False,False,True
2164,Fábula para Gardel,Poema evocativo,https://www.todotango.com/musica/tema/985/Fabula-para-Gardel/,True,False,False,False,True
2289,Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1364/Gardel/,True,False,False,False,True
2293,Gardel: nacimiento y reconocimiento,Poema evocativo,https://www.todotango.com/musica/tema/5284/Gardel:-nacimiento-y-reconocimiento/,True,False,False,False,True
2409,Herencia (a Carlos Gardel),Poema evocativo,https://www.todotango.com/musica/tema/4039/Herencia-a-Carlos-Gardel/,True,False,False,False,True
2438,Historia del tango (apócrifa),Poema evocativo,https://www.todotango.com/musica/tema/2537/Historia-del-tango-apocrifa/,True,False,False,False,True
2547,Jilguerito criollo,Poema evocativo,https://www.todotango.com/musica/tema/1318/Jilguerito-criollo/,True,False,False,False,True
2679,La despedida,Poema evocativo,https://www.todotango.com/musica/tema/10132/La-despedida/,True,False,False,False,True
2814,La pinta de Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1326/La-pinta-de-Gardel/,True,False,False,False,True
3337,Mi acuarela a Carlos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1325/Mi-acuarela-a-Carlos-Gardel/,True,False,False,False,True
3914,Pa' Carlitos,Poema evocativo,https://www.todotango.com/musica/tema/2179/Pa-Carlitos/,True,False,False,False,True
4594,Salutación a Carlitos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/1324/Salutacion-a-Carlitos-Gardel/,True,False,False,False,True
4597,Salve maestro!,Poema evocativo,https://www.todotango.com/musica/tema/1320/Salve-maestro/,True,False,False,False,True
4624,Se fue Carlitos!,Poema evocativo,https://www.todotango.com/musica/tema/2582/Se-fue-Carlitos/,True,False,False,False,True
5021,Te fuiste a cantar al cielo,Poema evocativo,https://www.todotango.com/musica/tema/1323/Te-fuiste-a-cantar-al-cielo/,True,False,False,False,True
