,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
5661,Yeca de rioba (Toneso al vesre),Poema lunfardo,https://www.todotango.com/musica/tema/3203/Yeca-de-rioba-Toneso-al-vesre/,True,False,False,False,
5660,Yeca,Poema lunfardo,https://www.todotango.com/musica/tema/4078/Yeca/,True,False,False,False,
5600,Y me enamoré de vos,Poema lunfardo,https://www.todotango.com/musica/tema/3039/Y-me-enamore-de-vos/,True,False,False,False,
5594,Y la milonga dirá…,Poema lunfardo,https://www.todotango.com/musica/tema/5945/Y-la-milonga-dira/,True,False,False,False,
5569,X,Poema lunfardo,https://www.todotango.com/musica/tema/7305/X/,True,False,False,False,
5552,Votar,Poema lunfardo,https://www.todotango.com/musica/tema/4081/Votar/,True,False,False,False,
5518,Volcán de angustias,Poema lunfardo,https://www.todotango.com/musica/tema/2960/Volcan-de-angustias/,True,False,False,False,
5507,Vitrolera,Poema lunfardo,https://www.todotango.com/musica/tema/1693/Vitrolera/,True,False,False,False,
5490,Villa Crespo [c],Poema lunfardo,https://www.todotango.com/musica/tema/1108/Villa-Crespo-[c]/,True,False,False,False,
5462,Viejo ciego [b],Poema lunfardo,https://www.todotango.com/musica/tema/4436/Viejo-ciego-[b]/,True,False,False,False,
5421,Veredas de Buenos Aires,Poema lunfardo,https://www.todotango.com/musica/tema/931/Veredas-de-Buenos-Aires/,True,False,False,False,
5396,Vejentud,Poema lunfardo,https://www.todotango.com/musica/tema/555/Vejentud/,True,False,False,False,
5391,Vate,Poema lunfardo,https://www.todotango.com/musica/tema/1252/Vate/,True,False,False,False,
5489,VIII,Poema lunfardo,https://www.todotango.com/musica/tema/7303/VIII/,True,False,False,False,
5488,VII,Poema lunfardo,https://www.todotango.com/musica/tema/7302/VII/,True,False,False,False,
5427,VI,Poema lunfardo,https://www.todotango.com/musica/tema/7301/VI/,True,False,False,False,
5361,V,Poema lunfardo,https://www.todotango.com/musica/tema/7300/V/,True,False,False,False,
5323,Una cheno,Poema lunfardo,https://www.todotango.com/musica/tema/2192/Una-cheno/,True,False,False,False,
5259,Un cacho de Buenos Aires (dedicado,Poema lunfardo,https://www.todotango.com/musica/tema/1776/Un-cacho-de-Buenos-Aires-dedicado-a-Todo-Tango/,True,False,False,False,
5186,Troilo,Poema lunfardo,https://www.todotango.com/musica/tema/5835/Troilo/,True,False,False,False,
5184,Troesma,Poema lunfardo,https://www.todotango.com/musica/tema/2761/Troesma/,True,False,False,False,
5121,Todo por $2,Poema lunfardo,https://www.todotango.com/musica/tema/3389/Todo-por-$2/,True,False,False,False,
5122,Todo Tango,Poema lunfardo,https://www.todotango.com/musica/tema/3169/Todo-Tango/,True,False,False,False,
5107,Todavía puedo [b],Poema lunfardo,https://www.todotango.com/musica/tema/2961/Todavia-puedo-[b]/,True,False,False,False,
5097,Tita [c],Poema lunfardo,https://www.todotango.com/musica/tema/4076/Tita-[c]/,True,False,False,False,
5096,Tita [b],Poema lunfardo,https://www.todotango.com/musica/tema/3311/Tita-[b]/,True,False,False,False,
5010,Taxi-verso,Poema lunfardo,https://www.todotango.com/musica/tema/3208/Taxi-verso/,True,False,False,False,
4969,Tango macho,Poema lunfardo,https://www.todotango.com/musica/tema/2188/Tango-macho/,True,False,False,False,
4963,Tango en la red,Poema lunfardo,https://www.todotango.com/musica/tema/7430/Tango-en-la-red/,True,False,False,False,
4941,Tango [e],Poema lunfardo,https://www.todotango.com/musica/tema/523/Tango-[e]/,True,False,False,False,
4940,Tango [d],Poema lunfardo,https://www.todotango.com/musica/tema/3207/Tango-[d]/,True,False,False,False,
4893,Suárez,Poema lunfardo,https://www.todotango.com/musica/tema/2631/Suarez/,True,False,False,False,
4838,Soñar es gratis,Poema lunfardo,https://www.todotango.com/musica/tema/3589/Sonar-es-gratis/,True,False,False,False,
4871,Soy así y me llamo tango,Poema lunfardo,https://www.todotango.com/musica/tema/1794/Soy-asi-y-me-llamo-tango/,True,False,False,False,
4856,Sor Bacana,Poema lunfardo,https://www.todotango.com/musica/tema/1268/Sor-Bacana/,True,False,False,False,
4850,Soneto al barrio triste,Poema lunfardo,https://www.todotango.com/musica/tema/2309/Soneto-al-barrio-triste/,True,False,False,False,
4848,Soneto,Poema lunfardo,https://www.todotango.com/musica/tema/3972/Soneto/,True,False,False,False,
4845,Sonatina [b],Poema lunfardo,https://www.todotango.com/musica/tema/1106/Sonatina-[b]/,True,False,False,False,
4784,Sinatra,Poema lunfardo,https://www.todotango.com/musica/tema/4084/Sinatra/,True,False,False,False,
4763,Sin embrete,Poema lunfardo,https://www.todotango.com/musica/tema/5838/Sin-embrete/,True,False,False,False,
4665,Seis estrofas para Troilo,Poema lunfardo,https://www.todotango.com/musica/tema/4040/Seis-estrofas-para-Troilo/,True,False,False,False,
