,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
83,A pata suelta,Ranchera,https://www.todotango.com/musica/tema/1202/A-pata-suelta/,True,False,False,False,True
172,Afilador,Ranchera,https://www.todotango.com/musica/tema/2002/Afilador/,True,False,False,True,True
189,Ahijuna canejo po rom pom pom,Ranchera,https://www.todotango.com/musica/tema/6695/Ahijuna-canejo-po-rom-pom-pom/,True,False,False,False,True
312,Amor cómo me has ponido,Ranchera,https://www.todotango.com/musica/tema/4308/Amor-como-me-has-ponido/,True,False,False,False,True
502,Ave María Purísima,Ranchera,https://www.todotango.com/musica/tema/9736/Ave-Maria-Purisima/,True,False,False,False,True
541,Bajando la serranía,Ranchera,https://www.todotango.com/musica/tema/5784/Bajando-la-serrania/,True,True,False,False,True
757,Cadenita de amor,Ranchera,https://www.todotango.com/musica/tema/5107/Cadenita-de-amor/,True,True,False,True,True
824,Campana de largada,Ranchera,https://www.todotango.com/musica/tema/7895/Campana-de-largada/,True,True,False,False,True
1111,Como aniyo al dedo,Ranchera,https://www.todotango.com/musica/tema/6588/Como-aniyo-al-dedo/,True,False,False,False,True
1361,De contramano,Ranchera,https://www.todotango.com/musica/tema/950/De-contramano/,True,False,False,False,True
1565,Doña Froilana,Ranchera,https://www.todotango.com/musica/tema/6321/Dona-Froilana/,True,False,False,False,True
1577,Dónde hay un mango,Ranchera,https://www.todotango.com/musica/tema/2370/Donde-hay-un-mango/,True,False,False,True,True
1721,El despreciao,Ranchera,https://www.todotango.com/musica/tema/7891/El-despreciao/,True,True,False,False,True
1791,El mate de la china (En el día de l,Ranchera,https://www.todotango.com/musica/tema/185/El-mate-de-la-china-En-el-dia-de-la-fiesta/,True,True,False,False,True
2002,En la palmera,Ranchera,https://www.todotango.com/musica/tema/4961/En-la-palmera/,True,True,False,False,True
2003,En la tranquera (A Mar del Plata yo,Ranchera,https://www.todotango.com/musica/tema/2748/En-la-tranquera-A-Mar-del-Plata-yo-me-quiero-ir/,True,True,False,False,True
2226,Flor de pajonal,Ranchera,https://www.todotango.com/musica/tema/1144/Flor-de-pajonal/,True,False,False,False,True
2670,La cuadrera,Ranchera,https://www.todotango.com/musica/tema/6025/La-cuadrera/,True,True,False,False,True
2693,La farolera,Ranchera,https://www.todotango.com/musica/tema/6356/La-farolera/,True,False,False,False,True
2753,La mentirosa [b],Ranchera,https://www.todotango.com/musica/tema/5449/La-mentirosa-[b]/,True,False,False,False,True
2801,La pastelera,Ranchera,https://www.todotango.com/musica/tema/4864/La-pastelera/,True,False,False,False,True
2915,Las chicas del día,Ranchera,https://www.todotango.com/musica/tema/2233/Las-chicas-del-dia/,True,False,False,False,True
2933,Las romerías,Ranchera,https://www.todotango.com/musica/tema/6112/Las-romerias/,True,True,False,False,True
3034,Los amores con la crisis,Ranchera,https://www.todotango.com/musica/tema/4255/Los-amores-con-la-crisis/,True,False,False,False,True
3167,Mañanita de campo,Ranchera,https://www.todotango.com/musica/tema/3365/Mananita-de-campo/,True,False,False,False,True
3234,Martín Pescador,Ranchera,https://www.todotango.com/musica/tema/2784/Martin-Pescador/,True,False,False,False,True
3250,Mate amargo,Ranchera,https://www.todotango.com/musica/tema/940/Mate-amargo/,True,False,False,False,True
3263,Me enamoré una vez,Ranchera,https://www.todotango.com/musica/tema/2758/Me-enamore-una-vez/,True,False,False,False,True
