,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
0,A bailar,Tango,https://www.todotango.com/musica/tema/130/A-bailar/,True,False,False,False,True
1,A bailar el tango,Tango,https://www.todotango.com/musica/tema/7866/A-bailar-el-tango/,True,True,False,False,True
5,A cara limpia,Tango,https://www.todotango.com/musica/tema/6354/A-cara-limpia/,True,False,False,False,True
6,A cara o cruz,Tango,https://www.todotango.com/musica/tema/6455/A-cara-o-cruz/,True,False,False,False,True
9,A Cátulo Castillo,Tango,https://www.todotango.com/musica/tema/33/A-Catulo-Castillo/,True,False,False,True,False
10,A cielo partido,Tango,https://www.todotango.com/musica/tema/6532/A-cielo-partido/,True,False,False,False,False
11,A contramano,Tango,https://www.todotango.com/musica/tema/2304/A-contramano/,True,False,False,False,False
14,A Don Javier,Tango,https://www.todotango.com/musica/tema/8733/A-Don-Javier/,True,False,False,False,False
17,A escuchar tangos,Tango,https://www.todotango.com/musica/tema/6154/A-escuchar-tangos/,True,False,False,False,True
19,A Francisco De Caro,Tango,https://www.todotango.com/musica/tema/4559/A-Francisco-De-Caro/,True,False,False,False,True
20,A Homero,Tango,https://www.todotango.com/musica/tema/66/A-Homero/,True,False,True,True,False
21,A Horacio Ferrer,Tango,https://www.todotango.com/musica/tema/8347/A-Horacio-Ferrer/,True,False,False,False,True
22,A Horacio Ferrer [b],Tango,https://www.todotango.com/musica/tema/9323/A-Horacio-Ferrer-[b]/,True,False,False,False,True
25,A José Neira,Tango,https://www.todotango.com/musica/tema/3648/A-Jose-Neira/,True,False,False,False,True
27,A la gran muñeca,Tango,https://www.todotango.com/musica/tema/926/A-la-gran-muneca/,True,True,True,True,False
29,A la luz del candil,Tango,https://www.todotango.com/musica/tema/1198/A-la-luz-del-candil/,True,True,False,True,False
33,A la mujer argentina,Tango,https://www.todotango.com/musica/tema/3633/A-la-mujer-argentina/,True,False,False,False,True
36,A la sombra del recuerdo,Tango,https://www.todotango.com/musica/tema/4557/A-la-sombra-del-recuerdo/,True,False,False,False,True
37,A las ocho... ¡Tango Club!...,Tango,https://www.todotango.com/musica/tema/3857/A-las-ocho-Tango-Club/,True,True,False,False,True
38,A las siete en el café,Tango,https://www.todotango.com/musica/tema/2579/A-las-siete-en-el-cafe/,True,False,False,True,False
39,A Leopoldo Federico,Tango,https://www.todotango.com/musica/tema/6958/A-Leopoldo-Federico/,True,False,False,True,False
40,A lo Magdalena,Tango,https://www.todotango.com/musica/tema/4681/A-lo-Magdalena/,True,False,False,False,True
41,A lo Megata,Tango,https://www.todotango.com/musica/tema/1060/A-lo-Megata/,True,False,True,True,False
42,A lo mejor quién te dice,Tango,https://www.todotango.com/musica/tema/2682/A-lo-mejor-quien-te-dice/,True,False,False,False,True
45,A mal tiempo buena cara,Tango,https://www.todotango.com/musica/tema/1236/A-mal-tiempo-buena-cara/,True,False,False,False,True
48,A media luz,Tango,https://www.todotango.com/musica/tema/597/A-media-luz/,True,True,True,True,False
49,A medianoche,Tango,https://www.todotango.com/musica/tema/4115/A-medianoche/,True,False,False,False,True
50,A mi barrio,Tango,https://www.todotango.com/musica/tema/6703/A-mi-barrio/,True,False,False,True,False
51,A mi calle,Tango,https://www.todotango.com/musica/tema/4966/A-mi-calle/,True,False,False,True,False
52,A mí dejame en mi barrio,Tango,https://www.todotango.com/musica/tema/3815/A-mi-dejame-en-mi-barrio/,True,False,False,False,True
53,A mi hijo,Tango,https://www.todotango.com/musica/tema/6097/A-mi-hijo/,True,False,False,False,True
54,A mi hijo [b],Tango,https://www.todotango.com/musica/tema/8568/A-mi-hijo-[b]/,True,False,False,False,False
60,A mí me llaman Juan Tango,Tango,https://www.todotango.com/musica/tema/2526/A-mi-me-llaman-Juan-Tango/,True,False,False,False,True
63,A mi nieto,Tango,https://www.todotango.com/musica/tema/8449/A-mi-nieto/,True,False,False,False,True
64,A mí no me den consejos,Tango,https://www.todotango.com/musica/tema/3244/A-mi-no-me-den-consejos/,True,False,False,True,False
65,A mí no me hablen de penas,Tango,https://www.todotango.com/musica/tema/3409/A-mi-no-me-hablen-de-penas/,True,False,False,False,True
66,A mí no me hablen de tango,Tango,https://www.todotango.com/musica/tema/3126/A-mi-no-me-hablen-de-tango/,True,False,False,False,False
68,A mi país,Tango,https://www.todotango.com/musica/tema/1372/A-mi-pais/,True,False,False,False,True
71,A mi viejo querido,Tango,https://www.todotango.com/musica/tema/3107/A-mi-viejo-querido/,True,False,False,False,True
76,A Montmartre,Tango,https://www.todotango.com/musica/tema/4640/A-Montmartre/,True,False,False,False,True
79,A oscuras,Tango,https://www.todotango.com/musica/tema/4281/A-oscuras/,True,False,False,False,True
81,A Pablo Neruda,Tango,https://www.todotango.com/musica/tema/8283/A-Pablo-Neruda/,True,False,False,False,True
82,A pan y agua,Tango,https://www.todotango.com/musica/tema/324/A-pan-y-agua/,True,True,True,True,False
84,A pesar de todo,Tango,https://www.todotango.com/musica/tema/7626/A-pesar-de-todo/,True,True,False,False,True
86,A pesar de…,Tango,https://www.todotango.com/musica/tema/9203/A-pesar-de/,True,False,False,False,True
87,A qué has venido,Tango,https://www.todotango.com/musica/tema/2783/A-que-has-venido/,True,False,False,True,False
88,A quién le puede importar,Tango,https://www.todotango.com/musica/tema/325/A-quien-le-puede-importar/,True,False,True,True,False
89,A Raúl Berón,Tango,https://www.todotango.com/musica/tema/7274/A-Raul-Beron/,True,False,True,False,True
90,A remolque,Tango,https://www.todotango.com/musica/tema/6669/A-remolque/,True,False,False,False,True
91,A rienda suelta,Tango,https://www.todotango.com/musica/tema/4233/A-rienda-suelta/,True,True,False,False,True
92,A río revuelto,Tango,https://www.todotango.com/musica/tema/5544/A-rio-revuelto/,True,False,False,False,True
