,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
475,Así tendré que sufrir,Tonada,https://www.todotango.com/musica/tema/4432/Asi-tendre-que-sufrir/,True,True,False,False,True
1042,Chinita linda,Tonada,https://www.todotango.com/musica/tema/4791/Chinita-linda/,True,False,False,False,True
1585,Dos cosas te pido,Tonada,https://www.todotango.com/musica/tema/4506/Dos-cosas-te-pido/,True,False,False,False,True
2078,Es tanto lo que te quiero,Tonada,https://www.todotango.com/musica/tema/4509/Es-tanto-lo-que-te-quiero/,True,False,False,False,True
2863,La tupungatina,Tonada,https://www.todotango.com/musica/tema/1513/La-tupungatina/,True,False,False,True,True
3161,Mañana es domingo,Tonada,https://www.todotango.com/musica/tema/2006/Manana-es-domingo/,True,False,False,False,True
3348,Mi buena estrella,Tonada,https://www.todotango.com/musica/tema/5330/Mi-buena-estrella/,True,False,False,False,True
3386,Mi pañuelo bordao,Tonada,https://www.todotango.com/musica/tema/4792/Mi-panuelo-bordao/,True,False,False,False,True
4267,Porque te quiero [b],Tonada,https://www.todotango.com/musica/tema/4505/Porque-te-quiero-[b]/,True,False,False,False,True
4609,Sanjuanina de mi amor,Tonada,https://www.todotango.com/musica/tema/4790/Sanjuanina-de-mi-amor/,True,False,False,False,True
4649,Se va y se va,Tonada,https://www.todotango.com/musica/tema/4507/Se-va-y-se-va/,True,False,False,False,True
