,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
16,A dúo con la vida,Vals,https://www.todotango.com/musica/tema/6534/A-duo-con-la-vida/,True,False,False,False,True
34,A la puerta del viejo colegio,Vals,https://www.todotango.com/musica/tema/6235/A-la-puerta-del-viejo-colegio/,True,False,False,False,True
43,A los payadores,Vals,https://www.todotango.com/musica/tema/4305/A-los-payadores/,True,False,False,False,True
44,A Magaldi,Vals,https://www.todotango.com/musica/tema/4682/A-Magaldi/,True,False,False,False,True
46,A María Rosa,Vals,https://www.todotango.com/musica/tema/7186/A-Maria-Rosa/,True,False,False,False,True
56,A mi madre [b],Vals,https://www.todotango.com/musica/tema/4180/A-mi-madre-[b]/,True,True,False,True,True
67,A mi padre,Vals,https://www.todotango.com/musica/tema/733/A-mi-padre/,True,False,False,False,True
69,A mi primera novia,Vals,https://www.todotango.com/musica/tema/1001/A-mi-primera-novia/,True,False,False,False,True
73,A mis amigos armenios,Vals,https://www.todotango.com/musica/tema/9688/A-mis-amigos-armenios/,True,False,False,False,True
94,A su memoria,Vals,https://www.todotango.com/musica/tema/272/A-su-memoria/,True,True,False,True,True
98,A tu lado María,Vals,https://www.todotango.com/musica/tema/5903/A-tu-lado-Maria/,True,True,False,False,True
99,A tu memoria madrecita,Vals,https://www.todotango.com/musica/tema/2075/A-tu-memoria-madrecita/,True,False,False,False,True
111,Abrazados,Vals,https://www.todotango.com/musica/tema/10055/Abrazados/,True,False,False,False,True
113,Absurdo,Vals,https://www.todotango.com/musica/tema/200/Absurdo/,True,True,True,True,True
121,Acordándome de vos,Vals,https://www.todotango.com/musica/tema/3600/Acordandome-de-vos/,True,False,False,False,True
122,Acordate,Vals,https://www.todotango.com/musica/tema/1893/Acordate/,True,False,False,False,True
128,Acuérdate de mí [b],Vals,https://www.todotango.com/musica/tema/6597/Acuerdate-de-mi-[b]/,True,False,False,False,True
130,Adela,Vals,https://www.todotango.com/musica/tema/6270/Adela/,True,True,False,False,True
132,Adelina,Vals,https://www.todotango.com/musica/tema/1855/Adelina/,True,False,False,False,True
136,Adiós [c],Vals,https://www.todotango.com/musica/tema/3335/Adios-[c]/,True,False,False,False,True
147,Adiós juventud,Vals,https://www.todotango.com/musica/tema/6499/Adios-juventud/,True,True,False,False,True
167,Adoración [c],Vals,https://www.todotango.com/musica/tema/5684/Adoracion-[c]/,True,True,False,False,True
191,Ahora tengo un amor,Vals,https://www.todotango.com/musica/tema/3165/Ahora-tengo-un-amor/,True,False,False,False,True
192,Aída,Vals,https://www.todotango.com/musica/tema/6254/Aida/,True,True,False,False,True
196,Al amparo de tus ojos,Vals,https://www.todotango.com/musica/tema/7671/Al-amparo-de-tus-ojos/,True,True,False,False,True
197,Al calor de tus besos,Vals,https://www.todotango.com/musica/tema/1334/Al-calor-de-tus-besos/,True,False,False,False,True
204,Al girar del vals,Vals,https://www.todotango.com/musica/tema/8740/Al-girar-del-vals/,True,False,False,False,True
206,Al maestro de canto,Vals,https://www.todotango.com/musica/tema/6943/Al-maestro-de-canto/,True,False,False,False,True
210,Al pie de tu reja,Vals,https://www.todotango.com/musica/tema/3782/Al-pie-de-tu-reja/,True,True,False,False,True
212,Al son de las campanas,Vals,https://www.todotango.com/musica/tema/4547/Al-son-de-las-campanas/,True,True,False,False,True
227,Alejandrina,Vals,https://www.todotango.com/musica/tema/5949/Alejandrina/,True,False,False,False,True
243,Alicia,Vals,https://www.todotango.com/musica/tema/3362/Alicia/,True,True,False,True,True
251,Alma criolla (A Nelly Omar),Vals,https://www.todotango.com/musica/tema/7944/Alma-criolla-A-Nelly-Omar/,True,False,False,False,True
263,Alma gaucha,Vals,https://www.todotango.com/musica/tema/6227/Alma-gaucha/,True,True,False,False,True
266,Alma mía,Vals,https://www.todotango.com/musica/tema/741/Alma-mia/,True,False,False,False,True
