,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
159,Adiós que te vaya bien,Zamba,https://www.todotango.com/musica/tema/4541/Adios-que-te-vaya-bien/,True,False,False,False,True
185,Agüita de la vertiente,Zamba,https://www.todotango.com/musica/tema/7054/Aguita-de-la-vertiente/,True,False,False,False,True
831,Campanitas,Zamba,https://www.todotango.com/musica/tema/4519/Campanitas/,True,True,False,True,True
1094,Claveles mendocinos,Zamba,https://www.todotango.com/musica/tema/2620/Claveles-mendocinos/,True,False,False,True,True
1099,Cocorocó,Zamba,https://www.todotango.com/musica/tema/4956/Cocoroco/,True,False,False,False,True
1241,Cordobesita,Zamba,https://www.todotango.com/musica/tema/4160/Cordobesita/,True,False,False,False,True
1269,Criollita de mis amores,Zamba,https://www.todotango.com/musica/tema/213/Criollita-de-mis-amores/,True,True,False,False,True
1611,Ecos de ausencia,Zamba,https://www.todotango.com/musica/tema/9851/Ecos-de-ausencia/,True,False,False,False,True
1660,El batará,Zamba,https://www.todotango.com/musica/tema/1014/El-batara/,True,False,False,False,True
2008,En los campos en flor,Zamba,https://www.todotango.com/musica/tema/804/En-los-campos-en-flor/,True,False,False,False,True
2185,Farol de los gauchos,Zamba,https://www.todotango.com/musica/tema/796/Farol-de-los-gauchos/,True,False,False,False,True
2624,La canción de los remeseros,Zamba,https://www.todotango.com/musica/tema/2169/La-cancion-de-los-remeseros/,True,False,False,False,True
2660,La Cordobesa,Zamba,https://www.todotango.com/musica/tema/4498/La-Cordobesa/,True,True,False,False,True
2821,La promesa,Zamba,https://www.todotango.com/musica/tema/3540/La-promesa/,True,False,False,True,True
2843,La salteñita,Zamba,https://www.todotango.com/musica/tema/5277/La-saltenita/,True,False,False,False,True
2853,La tacuarita,Zamba,https://www.todotango.com/musica/tema/3061/La-tacuarita/,True,False,False,True,True
2923,Las madreselvas,Zamba,https://www.todotango.com/musica/tema/3261/Las-madreselvas/,True,False,False,False,True
3065,Los ojazos de mi negra,Zamba,https://www.todotango.com/musica/tema/5030/Los-ojazos-de-mi-negra/,True,True,False,False,True
3075,Los rosales se han secao,Zamba,https://www.todotango.com/musica/tema/6077/Los-rosales-se-han-secao/,True,False,False,False,True
3095,Machaza mi suerte,Zamba,https://www.todotango.com/musica/tema/5278/Machaza-mi-suerte/,True,False,False,False,True
3151,Mama Vieja,Zamba,https://www.todotango.com/musica/tema/4965/Mama-Vieja/,True,False,False,False,True
3308,Memoria del viento,Zamba,https://www.todotango.com/musica/tema/7821/Memoria-del-viento/,True,False,False,False,True
3329,Mercedes gaucha,Zamba,https://www.todotango.com/musica/tema/9850/Mercedes-gaucha/,True,False,False,False,True
3379,Mi manta pampa,Zamba,https://www.todotango.com/musica/tema/5205/Mi-manta-pampa/,True,False,False,False,True
3409,Mi tierra,Zamba,https://www.todotango.com/musica/tema/4504/Mi-tierra/,True,False,False,False,True
3846,Obligados a volver,Zamba,https://www.todotango.com/musica/tema/7370/Obligados-a-volver/,True,False,False,False,True
3993,Para nombrarte,Zamba,https://www.todotango.com/musica/tema/8378/Para-nombrarte/,True,False,False,False,True
4180,Polola mía,Zamba,https://www.todotango.com/musica/tema/6696/Polola-mia/,True,False,False,False,True
4198,Por el camino (Zamba del boyero),Zamba,https://www.todotango.com/musica/tema/1820/Por-el-camino-Zamba-del-boyero/,True,True,False,False,True
4270,Porteña del Rosedal,Zamba,https://www.todotango.com/musica/tema/5966/Portena-del-Rosedal/,True,False,False,False,True
4283,Potros azules,Zamba,https://www.todotango.com/musica/tema/3780/Potros-azules/,True,False,False,False,True
4428,Quiéreme,Zamba,https://www.todotango.com/musica/tema/6219/Quiereme/,True,False,False,False,True
4436,Quizás de sol,Zamba,https://www.todotango.com/musica/tema/6074/Quizas-de-sol/,True,False,False,False,True
4552,Rosario de Santa Fe,Zamba,https://www.todotango.com/musica/tema/5447/Rosario-de-Santa-Fe/,True,False,False,False,True
5143,Tradiciones,Zamba,https://www.todotango.com/musica/tema/6249/Tradiciones/,True,False,False,False,True
5234,Tucumana,Zamba,https://www.todotango.com/musica/tema/2967/Tucumana/,True,False,False,False,True
5526,Volveme el cariño,Zamba,https://www.todotango.com/musica/tema/5833/Volveme-el-carino/,True,False,False,False,True
5731,Zamba del olvido,Zamba,https://www.todotango.com/musica/tema/1010/Zamba-del-olvido/,True,False,False,False,True
5732,Zamba del sur,Zamba,https://www.todotango.com/musica/tema/9263/Zamba-del-sur/,True,False,False,False,True
5733,Zamba enamorada,Zamba,https://www.todotango.com/musica/tema/8073/Zamba-enamorada/,True,False,False,False,True
5734,Zamba para un final,Zamba,https://www.todotango.com/musica/tema/6297/Zamba-para-un-final/,True,False,False,False,True
