,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
3243,Mascarada,Milonga,Murga,https://www.todotango.com/musica/tema/3703/Mascarada/,True,False,False,False,4,True
3618,Murga cruel,Milonga,Murga,https://www.todotango.com/musica/tema/3702/Murga-cruel/,True,False,False,False,4,True
4573,Rumores,Otros ritmos,Bambuco,https://www.todotango.com/musica/tema/3791/Rumores/,True,False,False,False,5,True
4101,Piano alemán,Foxtrot,Fox charleston,https://www.todotango.com/musica/tema/6192/Piano-aleman/,True,False,False,False,3,True
3066,Los ojos de mi moza,Otros ritmos,Jota,https://www.todotango.com/musica/tema/220/Los-ojos-de-mi-moza/,True,False,False,True,5,True
1996,En la luz de una estrella,Foxtrot,Fox Bolero,https://www.todotango.com/musica/tema/2089/En-la-luz-de-una-estrella/,True,False,False,False,3,True
1378,De mi casa a tu casa,Folklore,Aire de bailecito,https://www.todotango.com/musica/tema/2821/De-mi-casa-a-tu-casa/,True,True,False,False,2,True
5724,Yo tuyo soy tuyo es mi amor,Folklore,Vidalita,https://www.todotango.com/musica/tema/4881/Yo-tuyo-soy-tuyo-es-mi-amor/,True,False,False,False,2,True
4617,Se casa Marieta,Otros ritmos,Tarantella,https://www.todotango.com/musica/tema/7210/Se-casa-Marieta/,True,True,False,False,5,True
1125,Como la cigarra,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/6260/Como-la-cigarra/,True,False,False,False,5,True
1303,Cuando silba el viento,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/3751/Cuando-silba-el-viento/,True,False,False,False,5,True
2068,Es el amigo que hoy necesito,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/4674/Es-el-amigo-que-hoy-necesito/,True,False,False,False,5,True
2834,La retrechera,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/2948/La-retrechera/,True,False,False,True,5,True
3938,Paisaje de mi mamá,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/9324/Paisaje-de-mi-mama/,True,False,False,False,5,True
4697,Serenata para la tierra de uno,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/6261/Serenata-para-la-tierra-de-uno/,True,False,False,False,5,True
4724,Si te viera Garay,Otros ritmos,Habanera,https://www.todotango.com/musica/tema/4006/Si-te-viera-Garay/,True,False,True,False,5,True
1794,El mensaje de tu piel,Canción,Balada,https://www.todotango.com/musica/tema/3223/El-mensaje-de-tu-piel/,True,False,False,False,1,True
3284,Me quedé con las ganas,Canción,Balada,https://www.todotango.com/musica/tema/6956/Me-quede-con-las-ganas/,True,False,False,False,1,True
4073,Perdí tu dirección,Canción,Balada,https://www.todotango.com/musica/tema/7114/Perdi-tu-direccion/,True,False,False,False,1,True
4852,Sonia,Canción,Balada,https://www.todotango.com/musica/tema/2064/Sonia/,True,False,False,True,1,True
5051,Tenés servido el té!,Canción,Balada,https://www.todotango.com/musica/tema/2951/Tenes-servido-el-te/,True,False,False,False,1,True
501,Ave María [c],Folklore,Triste campero,https://www.todotango.com/musica/tema/2007/Ave-Maria-[c]/,True,False,False,False,2,True
511,Ay de mí,Folklore,Triste campero,https://www.todotango.com/musica/tema/4100/Ay-de-mi/,True,False,False,False,2,True
1296,Cuando me hablan del destino,Tango,Arr. en tango,https://www.todotango.com/musica/tema/9135/Cuando-me-hablan-del-destino/,True,False,False,False,7,True
2435,Historia de un amor,Tango,Arr. en tango,https://www.todotango.com/musica/tema/2268/Historia-de-un-amor/,True,False,True,True,7,True
3872,Olvídame (Risque),Tango,Arr. en tango,https://www.todotango.com/musica/tema/5407/Olvidame-Risque/,True,False,False,False,7,True
5273,Un giorno ti dirò (Un día te diré),Tango,Arr. en tango,https://www.todotango.com/musica/tema/2677/Un-giorno-ti-dir%c3%b2-Un-dia-te-dire/,True,False,False,False,7,True
5406,Venganza (Vingança),Tango,Arr. en tango,https://www.todotango.com/musica/tema/4450/Venganza-Vingan%c3%a7a/,True,False,False,True,7,True
1008,Chanteclair,Otros ritmos,Java canción,https://www.todotango.com/musica/tema/7979/Chanteclair/,True,False,False,False,5,True
679,Brendita,Milonga,Milonga candombe,https://www.todotango.com/musica/tema/5153/Brendita/,True,False,False,False,4,True
3517,Milonguerita candombera,Milonga,Milonga candombe,https://www.todotango.com/musica/tema/9038/Milonguerita-candombera/,True,False,False,False,4,True
3900,Oscura de piel besada,Milonga,Milonga candombe,https://www.todotango.com/musica/tema/4319/Oscura-de-piel-besada/,True,False,False,False,4,True
2417,Hermana Eladia,Tango,Tango balada,https://www.todotango.com/musica/tema/6467/Hermana-Eladia/,True,False,False,False,7,True
475,Así tendré que sufrir,Folklore,Tonada,https://www.todotango.com/musica/tema/4432/Asi-tendre-que-sufrir/,True,True,False,False,2,True
1042,Chinita linda,Folklore,Tonada,https://www.todotango.com/musica/tema/4791/Chinita-linda/,True,False,False,False,2,True
1585,Dos cosas te pido,Folklore,Tonada,https://www.todotango.com/musica/tema/4506/Dos-cosas-te-pido/,True,False,False,False,2,True
2078,Es tanto lo que te quiero,Folklore,Tonada,https://www.todotango.com/musica/tema/4509/Es-tanto-lo-que-te-quiero/,True,False,False,False,2,True
2863,La tupungatina,Folklore,Tonada,https://www.todotango.com/musica/tema/1513/La-tupungatina/,True,False,False,True,2,True
3161,Mañana es domingo,Folklore,Tonada,https://www.todotango.com/musica/tema/2006/Manana-es-domingo/,True,False,False,False,2,True
3348,Mi buena estrella,Folklore,Tonada,https://www.todotango.com/musica/tema/5330/Mi-buena-estrella/,True,False,False,False,2,True
3386,Mi pañuelo bordao,Folklore,Tonada,https://www.todotango.com/musica/tema/4792/Mi-panuelo-bordao/,True,False,False,False,2,True
4267,Porque te quiero [b],Folklore,Tonada,https://www.todotango.com/musica/tema/4505/Porque-te-quiero-[b]/,True,False,False,False,2,True
