Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio
A bailar,Tango,https://www.todotango.com/musica/tema/130/A-bailar/,True,False,False,False
A bailar el tango,Tango,https://www.todotango.com/musica/tema/7866/A-bailar-el-tango/,True,True,False,False
A Beba Bidart,Poema lunfardo,https://www.todotango.com/musica/tema/3647/A-Beba-Bidart/,True,False,False,False
A bordo de mis zapatos,Milonga,https://www.todotango.com/musica/tema/2864/A-bordo-de-mis-zapatos/,True,False,False,False
A Buenos Aires,Milonga,https://www.todotango.com/musica/tema/3843/A-Buenos-Aires/,True,False,False,False
A cara limpia,Tango,https://www.todotango.com/musica/tema/6354/A-cara-limpia/,True,False,False,False
A cara o cruz,Tango,https://www.todotango.com/musica/tema/6455/A-cara-o-cruz/,True,False,False,False
A Carlitos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/3120/A-Carlitos-Gardel/,True,False,False,False
A Carlos Gardel,Poema evocativo,https://www.todotango.com/musica/tema/2178/A-Carlos-Gardel/,True,False,False,False
A Cátulo Castillo,Tango,https://www.todotango.com/musica/tema/33/A-Catulo-Castillo/,True,False,False,True
A cielo partido,Tango,https://www.todotango.com/musica/tema/6532/A-cielo-partido/,True,False,False,False
A contramano,Tango,https://www.todotango.com/musica/tema/2304/A-contramano/,True,False,False,False
A Daniel Giribaldi,Poema lunfardo,https://www.todotango.com/musica/tema/1773/A-Daniel-Giribaldi/,True,False,False,False
A diez centavos la pieza,Milonga,https://www.todotango.com/musica/tema/6232/A-diez-centavos-la-pieza/,True,True,False,False
A Don Javier,Tango,https://www.todotango.com/musica/tema/8733/A-Don-Javier/,True,False,False,False
A Don Nicanor Paredes,Milonga,https://www.todotango.com/musica/tema/1161/A-Don-Nicanor-Paredes/,True,False,False,False
A dúo con la vida,Vals,https://www.todotango.com/musica/tema/6534/A-duo-con-la-vida/,True,False,False,False
A escuchar tangos,Tango,https://www.todotango.com/musica/tema/6154/A-escuchar-tangos/,True,False,False,False
A eso de la oración,Canción,https://www.todotango.com/musica/tema/5331/A-eso-de-la-oracion/,True,False,False,False
A Francisco De Caro,Tango,https://www.todotango.com/musica/tema/4559/A-Francisco-De-Caro/,True,False,False,False
A Homero,Tango,https://www.todotango.com/musica/tema/66/A-Homero/,True,False,True,True
A Horacio Ferrer,Tango,https://www.todotango.com/musica/tema/8347/A-Horacio-Ferrer/,True,False,False,False
A Horacio Ferrer [b],Tango,https://www.todotango.com/musica/tema/9323/A-Horacio-Ferrer-[b]/,True,False,False,False
A Irineo Leguisamo,Poema lunfardo,https://www.todotango.com/musica/tema/2458/A-Irineo-Leguisamo/,True,False,False,False
A Jorge Newbery,Estilo,https://www.todotango.com/musica/tema/8344/A-Jorge-Newbery/,True,False,False,False
A José Neira,Tango,https://www.todotango.com/musica/tema/3648/A-Jose-Neira/,True,False,False,False
A la edad de los varones,Poema lunfardo,https://www.todotango.com/musica/tema/2990/A-la-edad-de-los-varones/,True,False,False,False
A la gran muñeca,Tango,https://www.todotango.com/musica/tema/926/A-la-gran-muneca/,True,True,True,True
A la luz de la luna,Foxtrot,https://www.todotango.com/musica/tema/4363/A-la-luz-de-la-luna/,True,False,False,False
A la luz del candil,Tango,https://www.todotango.com/musica/tema/1198/A-la-luz-del-candil/,True,True,False,True
A la más linda del barrio,Milonga,https://www.todotango.com/musica/tema/6759/A-la-mas-linda-del-barrio/,True,False,False,False
A la memoria de Jorge Newbery,Estilo,https://www.todotango.com/musica/tema/7335/A-la-memoria-de-Jorge-Newbery/,True,True,False,False
A la milonga,Poema lunfardo,https://www.todotango.com/musica/tema/524/A-la-milonga/,True,False,False,False
A la mujer argentina,Tango,https://www.todotango.com/musica/tema/3633/A-la-mujer-argentina/,True,False,False,False
A la puerta del viejo colegio,Vals,https://www.todotango.com/musica/tema/6235/A-la-puerta-del-viejo-colegio/,True,False,False,False
A la señora Academia,Poema lunfardo,https://www.todotango.com/musica/tema/1254/A-la-senora-Academia/,True,False,False,False
A la sombra del recuerdo,Tango,https://www.todotango.com/musica/tema/4557/A-la-sombra-del-recuerdo/,True,False,False,False
